img_path,top_left_col,top_left_row,top_right_col,top_right_row,bot_right_col,bot_right_row,bot_left_col,bot_left_row,eye_right_col,eye_right_row,eye_left_col,eye_left_row,nose_tip_col,nose_tip_row,mouth_right_col,mouth_right_row,mouth_left_col,mouth_left_row
Raducanu2024IndianWellsOpen_(cropped).jpg,47,279,198,275,202,426,51,430
Raducanu2024IndianWellsOpen_(cropped).jpg,1602,379,1725,378,1726,501,1603,502
Raducanu2024IndianWellsOpen_(cropped).jpg,489,935,796,860,871,1167,564,1241
Raducanu2024IndianWellsOpen_(cropped).jpg,1382,1482,1089,1484,1088,1191,1381,1189
Raducanu2025AOround2_(cropped).jpg,985,220,1054,220,1054,289,985,289
Raducanu2025AOround2_(cropped).jpg,537,-17,606,-15,604,54,535,52
Raducanu2025AOround2_(cropped).jpg,38,-15,118,-27,131,52,50,65
Raducanu2025AOround2_(cropped).jpg,205,-37,282,-35,280,42,203,40
Raducanu2025AOround2_(cropped).jpg,380,-36,468,-42,473,45,386,50
Emma_Raducanu_Forehand_(51748121911).jpg,1931,372,2256,398,2230,723,1905,697
Transylvania_Open-Day_2-Emma_Răducanu_&_Gabriela_Ruse_-_practice_(51626330901).jpg,1004,354,1112,361,1104,469,997,461
EmmaRaducanu2022USOpenPractice_(cropped).jpg,1701,1020,2083,1226,1877,1609,1495,1403
EmmaRaducanu2022USOpenPractice_(cropped).jpg,1576,1162,1947,1182,1927,1553,1556,1532
RaducanuMiamiOpenPractice_(cropped).jpg,792,108,853,108,853,170,792,170
RaducanuMiamiOpenPractice_(cropped).jpg,1650,864,1804,822,1846,977,1691,1019
RaducanuMiamiOpenPractice_(cropped).jpg,2274,554,2365,549,2370,640,2279,645
RaducanuMiamiOpenPractice_(cropped).jpg,2824,98,2894,103,2889,173,2819,168
RaducanuMiamiOpenPractice_(cropped).jpg,2057,324,2085,327,2081,356,2053,352
RaducanuMiamiOpenPractice_(cropped).jpg,1692,378,1715,378,1715,401,1692,401
RaducanuMiamiOpenPractice_(cropped).jpg,1097,372,1124,373,1123,400,1096,399
RaducanuMiamiOpenPractice_(cropped).jpg,905,356,934,352,938,380,910,384
RaducanuMiamiOpenPractice_(cropped).jpg,1457,364,1488,368,1485,398,1454,395
Raducanu_WMQ18_(16)_(42834286534).jpg,1139,97,2038,56,2079,955,1180,996
Emma_Raducanu_(49810111052).jpg,379,153,531,133,551,284,399,304
